epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1660.67,3.09382,9.62587,0.69029,3.13308,3.63627,0.29212,0.2944,0.18049,0.06508,0.02872,0.01669,0.00151,0.00023,2.28003,8.87377,0.63653,2.4641,2.8636,0.00332957,0.00332957,0.00332957
2,3560.77,2.02201,8.24097,0.59065,2.17233,2.40157,0.59302,0.4852,0.5262,0.25121,0.21779,0.14436,0.07495,0.01527,1.77847,7.20553,0.53007,1.93632,2.19209,0.00659694,0.00659694,0.00659694
3,5218.18,1.73513,7.3214,0.51054,1.8423,2.03575,0.65296,0.55116,0.60901,0.31594,0.36346,0.2341,0.16139,0.03451,1.60568,6.4095,0.4886,1.74647,1.94894,0.00979831,0.00979831,0.00979831
4,6946.59,1.60121,6.64922,0.47475,1.67458,1.85348,0.72825,0.58642,0.68775,0.40304,0.51704,0.3654,0.31646,0.09023,1.42224,5.5256,0.4411,1.42318,1.72449,0.009703,0.009703,0.009703
5,8757.79,1.50626,6.22474,0.45381,1.54379,1.74712,0.75072,0.6272,0.72721,0.4464,0.60166,0.43396,0.4099,0.12602,1.34378,5.16437,0.42535,1.29943,1.6385,0.009604,0.009604,0.009604
6,10406.8,1.44853,5.96505,0.4415,1.46477,1.67771,0.76046,0.65372,0.75333,0.47389,0.64104,0.46458,0.45479,0.15284,1.2984,4.87067,0.41355,1.23312,1.57056,0.009505,0.009505,0.009505
7,11880.1,1.40725,5.78655,0.43284,1.40266,1.62559,0.78186,0.68168,0.78138,0.50154,0.66443,0.50499,0.49393,0.17265,1.23253,4.65568,0.40391,1.14955,1.50132,0.009406,0.009406,0.009406
8,13376.8,1.37785,5.64503,0.42641,1.36057,1.59062,0.78641,0.6949,0.78767,0.51236,0.66021,0.51653,0.51192,0.18967,1.21387,4.52303,0.39672,1.1105,1.46798,0.009307,0.009307,0.009307
9,14464.6,1.35529,5.54526,0.421,1.33123,1.56811,0.79734,0.70009,0.80014,0.52816,0.6976,0.52487,0.53124,0.20163,1.17972,4.37527,0.38953,1.06502,1.44102,0.009208,0.009208,0.009208
10,15596.1,1.33853,5.46027,0.4165,1.3069,1.54609,0.79036,0.71223,0.80981,0.53737,0.70568,0.54656,0.55091,0.21577,1.15284,4.26043,0.38547,1.04809,1.40683,0.009109,0.009109,0.009109
11,16949.2,1.32017,5.37994,0.41357,1.28312,1.52668,0.79863,0.72261,0.8148,0.54981,0.72366,0.554,0.57303,0.23277,1.13052,4.17025,0.38102,1.01076,1.38622,0.00901,0.00901,0.00901
12,18099.5,1.30841,5.31162,0.41065,1.26646,1.51357,0.8141,0.72115,0.82052,0.55697,0.71353,0.57132,0.58043,0.24267,1.11977,4.09286,0.378,0.99193,1.37483,0.008911,0.008911,0.008911
13,19196.9,1.29895,5.25331,0.4078,1.25063,1.50219,0.80581,0.73363,0.82854,0.56527,0.72182,0.5821,0.59624,0.25087,1.10208,4.02022,0.37459,0.9695,1.35783,0.008812,0.008812,0.008812
14,20712.1,1.28597,5.18751,0.40549,1.23255,1.48697,0.80948,0.73835,0.83183,0.57063,0.73615,0.58186,0.60282,0.25621,1.09154,3.95866,0.37267,0.95514,1.34692,0.008713,0.008713,0.008713
15,22316.2,1.27634,5.15165,0.40283,1.22156,1.47441,0.82313,0.73552,0.83542,0.57517,0.72825,0.6012,0.61282,0.26652,1.08152,3.89849,0.3705,0.94326,1.33307,0.008614,0.008614,0.008614
16,23549.7,1.26958,5.09863,0.40116,1.21218,1.46639,0.81741,0.74229,0.83758,0.57936,0.73149,0.5995,0.61546,0.27089,1.07082,3.85262,0.36901,0.935,1.32132,0.008515,0.008515,0.008515
17,25154.4,1.25977,5.06643,0.39917,1.20495,1.45623,0.81887,0.7452,0.84051,0.5833,0.73676,0.60102,0.61906,0.27519,1.06385,3.82055,0.36764,0.92935,1.31298,0.008416,0.008416,0.008416
18,26656.1,1.25263,5.02308,0.39755,1.19146,1.44747,0.81987,0.75169,0.84235,0.58663,0.73678,0.60847,0.62563,0.28005,1.05653,3.79011,0.3662,0.91977,1.30517,0.008317,0.008317,0.008317
19,28312.5,1.24632,4.98681,0.39545,1.18047,1.43931,0.82103,0.7489,0.84428,0.58893,0.74188,0.60831,0.63028,0.28411,1.05035,3.76533,0.36515,0.91183,1.29857,0.008218,0.008218,0.008218
20,29841.8,1.24022,4.9475,0.39362,1.17384,1.43159,0.82297,0.75,0.84526,0.59081,0.74305,0.61492,0.6348,0.28762,1.04701,3.74551,0.364,0.90768,1.29412,0.008119,0.008119,0.008119
21,32009.7,1.23512,4.92663,0.39228,1.16631,1.42365,0.82514,0.74906,0.84628,0.59216,0.73934,0.61807,0.63569,0.29058,1.04411,3.72638,0.36329,0.90496,1.29052,0.00802,0.00802,0.00802
22,34036.1,1.23237,4.88973,0.39139,1.16148,1.42056,0.82569,0.74969,0.84706,0.59409,0.73775,0.62269,0.63768,0.29238,1.04123,3.71213,0.36276,0.90164,1.28687,0.007921,0.007921,0.007921
23,36259.8,1.22631,4.85964,0.38975,1.15687,1.41347,0.82435,0.75214,0.84771,0.59568,0.74376,0.62091,0.63859,0.29441,1.03829,3.69532,0.36224,0.8984,1.28324,0.007822,0.007822,0.007822
24,38090.8,1.22182,4.84294,0.38893,1.14882,1.40915,0.82854,0.75162,0.84849,0.5968,0.73795,0.62862,0.64238,0.29768,1.03536,3.68111,0.3616,0.89488,1.27993,0.007723,0.007723,0.007723
25,39590.7,1.21703,4.81031,0.38644,1.14268,1.40279,0.82602,0.75488,0.84911,0.59829,0.73907,0.63051,0.6455,0.3,1.03252,3.66655,0.36097,0.89163,1.27663,0.007624,0.007624,0.007624
26,41119.9,1.2131,4.78729,0.38694,1.13643,1.39597,0.82818,0.75502,0.85061,0.59969,0.74517,0.62957,0.64714,0.30188,1.03001,3.65204,0.36022,0.88758,1.27338,0.007525,0.007525,0.007525
27,42685.4,1.20894,4.77524,0.38563,1.13384,1.39318,0.83081,0.75371,0.85122,0.60123,0.74685,0.63208,0.64987,0.3047,1.02772,3.64004,0.35973,0.88405,1.27013,0.007426,0.007426,0.007426
28,43535.4,1.20733,4.7551,0.38525,1.13039,1.38755,0.82724,0.7563,0.85111,0.60203,0.74726,0.63303,0.65209,0.30747,1.02592,3.6281,0.35911,0.88083,1.26729,0.007327,0.007327,0.007327
29,44367.3,1.20235,4.73624,0.38355,1.12316,1.38429,0.82726,0.75661,0.8519,0.60313,0.75145,0.63445,0.65459,0.30979,1.02399,3.61759,0.3586,0.8777,1.26442,0.007228,0.007228,0.007228
30,45285.2,1.19824,4.70566,0.38277,1.1189,1.38113,0.82916,0.7563,0.85252,0.60503,0.75144,0.63744,0.65797,0.31257,1.02248,3.60604,0.35812,0.87461,1.26203,0.007129,0.007129,0.007129
31,46129.6,1.19383,4.69142,0.38198,1.11203,1.37424,0.83325,0.7522,0.85308,0.60575,0.75335,0.63775,0.66013,0.31514,1.02084,3.59437,0.3576,0.87166,1.25947,0.00703,0.00703,0.00703
32,46992.5,1.18989,4.65784,0.38025,1.10498,1.3707,0.83482,0.75126,0.85378,0.6067,0.75777,0.63791,0.66291,0.31707,1.01892,3.58414,0.35705,0.86884,1.25668,0.006931,0.006931,0.006931
33,48199.6,1.1906,4.66083,0.38038,1.10811,1.37071,0.83181,0.75299,0.85405,0.60817,0.76264,0.63633,0.66542,0.31833,1.01685,3.5722,0.35647,0.86569,1.25398,0.006832,0.006832,0.006832
