epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,639.135,2.88791,9.38928,0.67946,2.9461,3.42219,0.39755,0.31785,0.2983,0.12111,0.04267,0.03479,0.00529,0.00092,2.16232,8.36534,0.61441,2.35264,2.70031,0.00333145,0.00333145,0.00333145
2,1250.62,1.8549,7.69358,0.55209,1.95449,2.21713,0.64176,0.53904,0.60333,0.3129,0.31697,0.20844,0.13467,0.02938,1.61912,6.67057,0.50223,1.70035,2.03538,0.0065988,0.0065988,0.0065988
3,1852.79,1.63609,6.8749,0.49366,1.70008,1.9425,0.69488,0.58737,0.66942,0.37698,0.45336,0.31455,0.25846,0.0666,1.49646,5.88914,0.46902,1.51813,1.83952,0.00980015,0.00980015,0.00980015
4,2454.39,1.52303,6.29642,0.46443,1.55239,1.78838,0.74411,0.63948,0.73503,0.43873,0.56684,0.42207,0.38596,0.1165,1.37312,5.21342,0.43232,1.3215,1.68614,0.009703,0.009703,0.009703
5,3055.89,1.43185,5.89255,0.44435,1.43242,1.68589,0.76099,0.6705,0.75953,0.47886,0.63267,0.44852,0.43486,0.14352,1.28789,4.91068,0.41771,1.21777,1.58564,0.009604,0.009604,0.009604
6,3657.44,1.37759,5.65092,0.43204,1.35386,1.62089,0.79502,0.67595,0.78239,0.5061,0.65888,0.49638,0.48874,0.1702,1.21607,4.65009,0.40662,1.13159,1.50697,0.009505,0.009505,0.009505
7,4258.67,1.33909,5.47281,0.4243,1.30135,1.57624,0.79281,0.70058,0.79629,0.52246,0.67591,0.52829,0.52129,0.19191,1.19037,4.45959,0.3972,1.08412,1.47398,0.009406,0.009406,0.009406
8,4860.18,1.31525,5.35598,0.41744,1.26823,1.54788,0.80904,0.70466,0.81097,0.5407,0.70292,0.54013,0.54849,0.21265,1.16497,4.32269,0.39117,1.04146,1.44109,0.009307,0.009307,0.009307
9,5462.01,1.29234,5.24026,0.41263,1.2344,1.52018,0.80784,0.71478,0.8166,0.5526,0.70806,0.55708,0.56641,0.2245,1.13293,4.20183,0.38567,1.00611,1.40368,0.009208,0.009208,0.009208
10,6063.91,1.27593,5.1559,0.40867,1.21162,1.50129,0.80204,0.72841,0.82152,0.56136,0.71848,0.57132,0.58125,0.23611,1.11189,4.10852,0.38075,0.98295,1.38389,0.009109,0.009109,0.009109
