epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,496.68,3.53311,9.6408,0.6863,3.10602,3.57555,0.15125,0.12563,0.06583,0.02166,0.01432,0.00992,0.00067,0.00012,2.8601,9.23857,0.64448,2.84167,2.76283,0.00332957,0.00332957,0.00332957
2,998.406,2.34843,8.32742,0.58043,2.23999,2.41307,0.45699,0.3372,0.3387,0.13631,0.15884,0.10154,0.04233,0.00757,2.37691,7.60157,0.52352,2.05464,2.29984,0.00659694,0.00659694,0.00659694
3,1518.25,2.09127,7.46321,0.50617,1.92939,2.13411,0.51407,0.44506,0.42911,0.17524,0.29931,0.21379,0.12391,0.02704,2.23098,6.68306,0.50671,2.36926,2.09575,0.00979831,0.00979831,0.00979831
4,2038.82,1.97937,6.84485,0.47083,1.76549,2.00343,0.58007,0.49387,0.51142,0.22359,0.48177,0.31848,0.26087,0.06697,2.07226,5.91342,0.43841,1.59587,1.92286,0.009703,0.009703,0.009703
5,2542.42,1.89294,6.45722,0.44896,1.63398,1.91745,0.64815,0.51707,0.56872,0.26802,0.51398,0.38098,0.32331,0.09167,1.98675,5.50076,0.41852,1.46331,1.813,0.009604,0.009604,0.009604
6,3031.85,1.8466,6.22405,0.43649,1.56211,1.86899,0.63608,0.52944,0.58151,0.27753,0.57755,0.41137,0.37415,0.11481,1.94555,5.25731,0.40938,1.38022,1.75916,0.009505,0.009505,0.009505
7,3520.9,1.81089,6.06304,0.42798,1.5024,1.83604,0.66531,0.55454,0.60833,0.29811,0.58812,0.4471,0.40719,0.12868,1.91954,5.07525,0.39401,1.33232,1.72777,0.009406,0.009406,0.009406
8,4043.1,1.78693,5.92831,0.42097,1.45743,1.8085,0.68919,0.56483,0.62565,0.31377,0.6165,0.47301,0.43476,0.14395,1.89902,4.91188,0.39196,1.27423,1.70217,0.009307,0.009307,0.009307
9,4549.37,1.76843,5.84046,0.41531,1.43051,1.79119,0.68392,0.58171,0.63523,0.32313,0.61945,0.48709,0.45032,0.15184,1.88403,4.7939,0.3832,1.2342,1.67407,0.009208,0.009208,0.009208
10,5033.06,1.75758,5.77268,0.4112,1.41317,1.77517,0.70491,0.57989,0.64258,0.33126,0.65265,0.50378,0.47335,0.16314,1.84868,4.67694,0.37789,1.22055,1.64829,0.009109,0.009109,0.009109
11,5510.89,1.74271,5.70304,0.40812,1.38374,1.7625,0.69905,0.59462,0.64928,0.33792,0.63712,0.51259,0.47957,0.16985,1.83955,4.6022,0.37312,1.18857,1.64055,0.00901,0.00901,0.00901
12,5992,1.72747,5.64565,0.40552,1.36872,1.74982,0.70641,0.59603,0.65677,0.3428,0.65516,0.52409,0.49959,0.17806,1.83342,4.51442,0.36983,1.1674,1.62212,0.008911,0.008911,0.008911
