epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1158.89,3.1089,9.62531,0.68969,3.16352,3.657,0.27384,0.27298,0.2015,0.07707,0.043,0.02188,0.00307,0.00044,2.2887,8.8381,0.63507,2.48698,2.87699,0.00332957,0.00332957,0.00332957
2,2637.54,2.02505,8.24012,0.60349,2.1793,2.43047,0.57537,0.47308,0.51118,0.24241,0.23098,0.14389,0.07539,0.01466,1.77741,7.22213,0.53256,1.88393,2.21564,0.00659694,0.00659694,0.00659694
3,3786.07,1.73964,7.33371,0.51317,1.86158,2.05375,0.6241,0.55479,0.59452,0.30055,0.33118,0.24622,0.15397,0.034,1.62495,6.53749,0.50495,1.81916,1.98576,0.00979831,0.00979831,0.00979831
4,5162.51,1.60128,6.66909,0.47551,1.68902,1.86796,0.71166,0.60615,0.68984,0.40113,0.52993,0.37059,0.32402,0.09385,1.43286,5.57327,0.44868,1.42306,1.74492,0.009703,0.009703,0.009703
5,6199.34,1.50438,6.23145,0.45495,1.55397,1.75824,0.74282,0.64251,0.73086,0.44065,0.59108,0.42113,0.39243,0.123,1.35127,5.19684,0.43266,1.31292,1.66407,0.009604,0.009604,0.009604
6,7503.17,1.44929,5.97423,0.44243,1.47811,1.69517,0.77577,0.64987,0.753,0.47469,0.62508,0.46741,0.44407,0.14686,1.28608,4.86243,0.41581,1.22748,1.5804,0.009505,0.009505,0.009505
7,8812.75,1.40744,5.79643,0.43394,1.41606,1.64527,0.78972,0.68053,0.77785,0.49824,0.65061,0.50246,0.48623,0.16983,1.24017,4.67663,0.40495,1.15718,1.52533,0.009406,0.009406,0.009406
8,10243.4,1.37793,5.64806,0.42706,1.36744,1.60841,0.79191,0.68661,0.78728,0.51384,0.69044,0.51873,0.51527,0.19158,1.20628,4.50473,0.39678,1.10867,1.4859,0.009307,0.009307,0.009307
9,11222.6,1.35481,5.54426,0.42192,1.33651,1.583,0.80553,0.69332,0.79987,0.52821,0.69957,0.53857,0.53856,0.20392,1.18167,4.3692,0.3931,1.07092,1.44946,0.009208,0.009208,0.009208
10,12321.1,1.33772,5.46767,0.41757,1.3146,1.55994,0.80559,0.70057,0.80724,0.5386,0.69549,0.54817,0.54846,0.21553,1.15809,4.26326,0.3869,1.04548,1.42014,0.009109,0.009109,0.009109
11,13338.7,1.32169,5.38589,0.41435,1.29208,1.54064,0.80898,0.71599,0.81752,0.55184,0.7165,0.56341,0.56981,0.23286,1.13836,4.16636,0.38393,1.0195,1.40158,0.00901,0.00901,0.00901
12,14370.1,1.30606,5.31947,0.41175,1.27056,1.52133,0.81837,0.72009,0.82308,0.55794,0.7224,0.57446,0.5852,0.24002,1.12332,4.09307,0.37968,0.99087,1.38235,0.008911,0.008911,0.008911
13,15504.4,1.29596,5.26082,0.40877,1.25481,1.50918,0.82075,0.71867,0.82646,0.56521,0.72756,0.5844,0.59426,0.25172,1.10205,4.01821,0.37593,0.97553,1.36213,0.008812,0.008812,0.008812
